# Top of Book CSV Output
# Generated by TopOfBookTracker
# Symbol: ESU4
# Date Range: 2025-07-10_2025-07-10
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   symbol: Trading symbol
#   best_bid: Best bid price in dollars (converted from ticks)
#   best_ask: Best ask price in dollars (converted from ticks)
#   bid_volume: Volume at best bid level
#   ask_volume: Volume at best ask level
#   mid_price: Mid price in dollars ((bid + ask) / 2)
#   spread: Bid-ask spread in dollars (ask - bid)

timestamp,symbol,best_bid,best_ask,bid_volume,ask_volume,mid_price,spread
2024-06-28T15:30:00.000500903Z,ESU4,5558.00,0.00,1,0,0.00,0.00
2024-06-28T15:30:00.001135098Z,ESU4,5558.00,5558.75,1,1,5558.38,0.75
2024-06-28T15:30:00.001242947Z,ESU4,5558.00,5558.75,1,1,5558.38,0.75
2024-06-28T15:30:00.003050032Z,ESU4,5558.00,5558.75,1,3,5558.38,0.75
2024-06-28T15:30:00.003050032Z,ESU4,5558.00,5558.75,1,5,5558.38,0.75
2024-06-28T15:30:00.003050032Z,ESU4,5558.00,5558.75,1,6,5558.38,0.75
2024-06-28T15:30:00.003053421Z,ESU4,5558.00,5558.75,1,7,5558.38,0.75
2024-06-28T15:30:00.003057125Z,ESU4,5558.00,5558.75,1,8,5558.38,0.75
2024-06-28T15:30:00.003088957Z,ESU4,5558.00,5558.75,1,11,5558.38,0.75
2024-06-28T15:30:00.003110475Z,ESU4,5558.00,5558.75,1,15,5558.38,0.75
2024-06-28T15:30:00.003121512Z,ESU4,5558.00,5558.75,1,17,5558.38,0.75
2024-06-28T15:30:00.003135642Z,ESU4,5558.00,5558.75,1,18,5558.38,0.75
2024-06-28T15:30:00.003140006Z,ESU4,5558.00,5558.75,1,19,5558.38,0.75
2024-06-28T15:30:00.003165874Z,ESU4,5558.00,5558.75,1,21,5558.38,0.75
2024-06-28T15:30:00.003182876Z,ESU4,5558.00,5558.75,1,22,5558.38,0.75
2024-06-28T15:30:00.003187826Z,ESU4,5558.00,5558.75,1,23,5558.38,0.75
2024-06-28T15:30:00.003199276Z,ESU4,5558.50,5558.75,4,23,5558.62,0.25
2024-06-28T15:30:00.003208164Z,ESU4,5558.50,5558.75,6,23,5558.62,0.25
2024-06-28T15:30:00.003234932Z,ESU4,5558.50,5558.75,6,28,5558.62,0.25
2024-06-28T15:30:00.003255348Z,ESU4,5558.50,5558.75,8,28,5558.62,0.25
2024-06-28T15:30:00.003277052Z,ESU4,5558.50,5558.75,9,28,5558.62,0.25
2024-06-28T15:30:00.003284924Z,ESU4,5558.50,5558.75,9,29,5558.62,0.25
2024-06-28T15:30:00.003316377Z,ESU4,5558.50,5558.75,10,29,5558.62,0.25
2024-06-28T15:30:00.003322224Z,ESU4,5558.50,5558.75,10,29,5558.62,0.25
2024-06-28T15:30:00.003333958Z,ESU4,5558.50,5558.75,10,30,5558.62,0.25
2024-06-28T15:30:00.003348098Z,ESU4,5558.50,5558.75,11,30,5558.62,0.25
2024-06-28T15:30:00.003352062Z,ESU4,5558.50,5558.75,11,31,5558.62,0.25
2024-06-28T15:30:00.003369264Z,ESU4,5558.50,5558.75,16,31,5558.62,0.25
2024-06-28T15:30:00.003376151Z,ESU4,5558.50,5558.75,16,32,5558.62,0.25
2024-06-28T15:30:00.003380652Z,ESU4,5558.50,5558.75,16,31,5558.62,0.25
2024-06-28T15:30:00.003420206Z,ESU4,5558.50,5558.75,16,32,5558.62,0.25
2024-06-28T15:30:00.003432973Z,ESU4,5558.50,5558.75,16,27,5558.62,0.25
2024-06-28T15:30:00.003445476Z,ESU4,5558.50,5558.75,17,27,5558.62,0.25
2024-06-28T15:30:00.004297333Z,ESU4,5558.50,5558.75,13,27,5558.62,0.25
2024-06-28T15:30:00.004297333Z,ESU4,5558.50,5558.75,11,27,5558.62,0.25
2024-06-28T15:30:00.004297333Z,ESU4,5558.50,5558.75,9,27,5558.62,0.25
2024-06-28T15:30:00.004297333Z,ESU4,5558.50,5558.75,8,27,5558.62,0.25
2024-06-28T15:30:00.004297333Z,ESU4,5558.50,5558.75,7,27,5558.62,0.25
