timestamp,l3_imbalance,weighted_imbalance,trade_volume_imbalance,momentum_signal,signal_strength
1719588600000485984,0,0,0,0,0
1719588600000646190,0,0,0,0,0
1719588600000742550,0,0,0,0,0
1719588600001120789,0,0,0,0,0
1719588600001228823,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003040456,0,0,0,0,0
1719588600003044219,0,0,0,0,0
1719588600003076254,0,0,0,0,0
1719588600003098106,0,0,0,0,0
1719588600003105099,0,0,0,0,0
1719588600003110009,0,0,0,0,0
1719588600003120755,0,0,0,0,0
1719588600003127872,0,0,0,0,0
1719588600003153226,0,0,0,0,0
1719588600003170347,0,0,0,0,0
1719588600003176291,0,0,0,0,0
1719588600003186428,0,0,0,0,0
1719588600003195587,0,0,0,0,0
1719588600003223311,0,0,0,0,0
1719588600003235092,0,0,0,0,0
1719588600003243053,0,0,0,0,0
1719588600003264705,0,0,0,0,0
1719588600003272462,0,0,0,0,0
1719588600003282020,0,0,0,0,0
1719588600003295588,0,0,0,0,0
1719588600003302761,0,0,0,0,0
1719588600003309514,0,0,0,0,0
1719588600003318499,0,0,0,0,0
1719588600003335671,0,0,0,0,0
1719588600003340540,0,0,0,0,0
1719588600003357032,0,0,0,0,0
1719588600003363170,0,0,0,0,0
1719588600003368592,-0.24,-0.289428,0,-0.230855,0.225886
1719588600003407743,-0.24,-0.289428,0,-0.230855,0.225886
1719588600003418777,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003433082,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600003960191,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.173913,-0.224953,0,-0.175268,0.16673
1719588600004273183,-0.255814,-0.314402,0,-0.25564,0.263686
1719588600004273183,-0.317073,-0.381663,0,-0.318263,0.50635
1719588600004273183,-0.428571,-0.241379,0,-0.375517,0.379798
1719588600004273183,-0.5,-0.195572,0,-0.424371,0.310366
1719588600004273183,-0.565217,-0.204918,0,-0.480794,0.304277
1719588600004273183,-0.625,-0.243772,0,-0.540227,0.316469
1719588600004273183,-0.829787,-0.580537,0,-0.765184,0.644474
1719588600004273183,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004273183,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004273183,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004273183,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004273183,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004279245,-0.882353,-0.792332,0,-0.860049,0.6312
1719588600004285563,-0.890909,-0.807692,0,-0.884706,0.529227
1719588600004285563,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004285563,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004290457,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004303163,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004306293,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004321094,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004338220,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004346489,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004375589,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004391856,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004418576,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004427454,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004434755,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004463923,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004493541,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004499117,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004516391,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004525202,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004531684,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004547857,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004561174,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004572694,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004578346,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004589712,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004602926,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004624732,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004636492,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004644090,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004675992,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004680543,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004686856,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004691295,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004697260,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004702948,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004708191,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004714539,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004721502,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004728506,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004733636,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004746845,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004751715,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004757474,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004764294,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004772475,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004779449,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004785234,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004791511,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004796969,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004804597,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004812717,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004817893,-0.898305,-0.817159,0,-0.907215,0.460084
1719588600004828451,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004833504,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004852207,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004859415,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004872553,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004883709,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004890314,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004895971,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004902331,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004907179,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004912099,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004965524,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004974192,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600004988840,-0.687943,-0.15609,0,-0.63673,0.0948476
1719588600005014316,-0.675,0.030236,0,-0.598187,0.207778
1719588600005209240,-0.680982,0.148849,0,-0.585849,0.269681
1719588600005310541,-0.680982,0.148849,0,-0.585849,0.269681
1719588600005427806,-0.680982,0.148849,0,-0.585849,0.269681
1719588600005622053,-0.680982,0.148849,0,-0.585849,0.269681
1719588600005711896,-0.637427,0.295607,0,-0.531746,0.414241
1719588600005870739,-0.637427,0.295607,0,-0.531746,0.414241
1719588600006581062,-0.637427,0.295607,0,-0.531746,0.414241
1719588600006581062,-0.637427,0.295607,0,-0.531746,0.414241
1719588600006588205,-0.645714,0.343455,0,-0.533517,0.442759
1719588600006621719,-0.651685,0.498398,0,-0.511547,0.523548
1719588600006663036,-0.651685,0.498398,0,-0.511547,0.523548
1719588600006684335,-0.651685,0.498398,0,-0.511547,0.523548
1719588600006693294,-0.651685,0.498398,0,-0.511547,0.523548
1719588600006755429,-0.627119,0.511804,0,-0.495974,0.588351
1719588600006857442,-0.62069,0.553318,0,-0.487108,0.637434
