# Top of Book CSV Output
# Generated by TopOfBookTracker
# Symbol: 
# Date Range: 
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   symbol: Trading symbol
#   best_bid: Best bid price in dollars (converted from ticks)
#   best_ask: Best ask price in dollars (converted from ticks)
#   bid_volume: Volume at best bid level
#   ask_volume: Volume at best ask level
#   mid_price: Mid price in dollars ((bid + ask) / 2)
#   spread: Bid-ask spread in dollars (ask - bid)

timestamp,symbol,best_bid,best_ask,bid_volume,ask_volume,mid_price,spread
2024-06-28T15:30:00.000485984Z,ESU4,5558.00,0.00,1,0,0.00,0.00
2024-06-28T15:30:00.001120789Z,ESU4,5558.00,5558.75,1,1,5558.38,0.75
2024-06-28T15:30:00.001228823Z,ESU4,5558.00,5558.75,1,1,5558.38,0.75
2024-06-28T15:30:00.003035797Z,ESU4,5558.00,5558.75,1,3,5558.38,0.75
2024-06-28T15:30:00.003035797Z,ESU4,5558.00,5558.75,1,5,5558.38,0.75
2024-06-28T15:30:00.003035797Z,ESU4,5558.00,5558.75,1,6,5558.38,0.75
2024-06-28T15:30:00.003040456Z,ESU4,5558.00,5558.75,1,7,5558.38,0.75
2024-06-28T15:30:00.003044219Z,ESU4,5558.00,5558.75,1,8,5558.38,0.75
2024-06-28T15:30:00.003076254Z,ESU4,5558.00,5558.75,1,11,5558.38,0.75
2024-06-28T15:30:00.003098106Z,ESU4,5558.00,5558.75,1,15,5558.38,0.75
2024-06-28T15:30:00.003110009Z,ESU4,5558.00,5558.75,1,17,5558.38,0.75
2024-06-28T15:30:00.003120755Z,ESU4,5558.00,5558.75,1,18,5558.38,0.75
2024-06-28T15:30:00.003127872Z,ESU4,5558.00,5558.75,1,19,5558.38,0.75
2024-06-28T15:30:00.003153226Z,ESU4,5558.00,5558.75,1,21,5558.38,0.75
2024-06-28T15:30:00.003170347Z,ESU4,5558.00,5558.75,1,22,5558.38,0.75
2024-06-28T15:30:00.003176291Z,ESU4,5558.00,5558.75,1,23,5558.38,0.75
2024-06-28T15:30:00.003186428Z,ESU4,5558.50,5558.75,4,23,5558.62,0.25
2024-06-28T15:30:00.003195587Z,ESU4,5558.50,5558.75,6,23,5558.62,0.25
2024-06-28T15:30:00.003223311Z,ESU4,5558.50,5558.75,6,28,5558.62,0.25
2024-06-28T15:30:00.003243053Z,ESU4,5558.50,5558.75,8,28,5558.62,0.25
2024-06-28T15:30:00.003264705Z,ESU4,5558.50,5558.75,9,28,5558.62,0.25
2024-06-28T15:30:00.003272462Z,ESU4,5558.50,5558.75,9,29,5558.62,0.25
2024-06-28T15:30:00.003302761Z,ESU4,5558.50,5558.75,10,29,5558.62,0.25
2024-06-28T15:30:00.003309514Z,ESU4,5558.50,5558.75,10,29,5558.62,0.25
2024-06-28T15:30:00.003318499Z,ESU4,5558.50,5558.75,10,30,5558.62,0.25
2024-06-28T15:30:00.003335671Z,ESU4,5558.50,5558.75,11,30,5558.62,0.25
