timestamp,l3_imbalance,weighted_imbalance,trade_volume_imbalance,momentum_signal,signal_strength
1719588600000485984,0,0,0,0,0
1719588600000646190,0,0,0,0,0
1719588600000742550,0,0,0,0,0
1719588600001120789,0,0,0,0,0
1719588600001228823,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003022122,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003035797,0,0,0,0,0
1719588600003040456,0,0,0,0,0
1719588600003044219,0,0,0,0,0
1719588600003076254,0,0,0,0,0
1719588600003098106,0,0,0,0,0
1719588600003105099,0,0,0,0,0
1719588600003110009,0,0,0,0,0
1719588600003120755,0,0,0,0,0
1719588600003127872,0,0,0,0,0
1719588600003153226,0,0,0,0,0
1719588600003170347,0,0,0,0,0
1719588600003176291,0,0,0,0,0
1719588600003186428,0,0,0,0,0
1719588600003195587,0,0,0,0,0
1719588600003223311,0,0,0,0,0
1719588600003235092,0,0,0,0,0
1719588600003243053,0,0,0,0,0
1719588600003264705,0,0,0,0,0
1719588600003272462,0,0,0,0,0
1719588600003282020,0,0,0,0,0
1719588600003295588,0,0,0,0,0
1719588600003302761,0,0,0,0,0
1719588600003309514,0,0,0,0,0
1719588600003318499,0,0,0,0,0
1719588600003335671,0,0,0,0,0
1719588600003340540,0,0,0,0,0
1719588600003357032,0,0,0,0,0
1719588600003363170,0,0,0,0,0
1719588600003368592,0,0,0,0,0
1719588600003407743,0,0,0,0,0
1719588600003418777,0,0,0,0,0
1719588600003433082,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600003960191,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004273183,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004279245,0,0,0,0,0
1719588600004285563,0,0,0,0,0
1719588600004285563,0,0,0,0,0
1719588600004285563,0,0,0,0,0
1719588600004290457,0,0,0,0,0
1719588600004303163,0,0,0,0,0
1719588600004306293,0,0,0,0,0
1719588600004321094,0,0,0,0,0
1719588600004338220,0,0,0,0,0
1719588600004346489,0,0,0,0,0
1719588600004375589,-0.472222,-0.512485,-0.98,-0.542736,0.531053
1719588600004391856,-0.52,-0.309481,-1.9404,-0.645024,0.619936
1719588600004418576,-0.540541,-0.338208,-2.88159,-0.774918,1
1719588600004427454,-0.561644,-0.368224,-3.80396,-0.905753,1
1719588600004434755,-0.561644,-0.368224,-3.80396,-0.905753,1
1719588600004463923,-0.561644,-0.368224,-3.80396,-0.905753,1
1719588600004493541,-0.561644,-0.368224,-3.80396,-0.905753,1
1719588600004499117,-0.561644,-0.368224,-3.80396,-0.905753,1
1719588600004516391,-0.625,-0.448155,-4.70788,-1,1
1719588600004525202,-0.625,-0.448155,-4.70788,-1,1
1719588600004531684,-0.65,-0.484902,-5.59372,-1,1
1719588600004547857,-0.808219,-0.745303,-11.6481,-1,1
1719588600004561174,-0.808219,-0.745303,-11.6481,-1,1
1719588600004572694,-0.808219,-0.745303,-11.6481,-1,1
1719588600004578346,-0.808219,-0.745303,-11.6481,-1,1
1719588600004589712,-0.808219,-0.745303,-11.6481,-1,1
1719588600004602926,-0.808219,-0.745303,-11.6481,-1,1
1719588600004624732,-0.808219,-0.745303,-11.6481,-1,1
1719588600004636492,-0.808219,-0.745303,-11.6481,-1,1
1719588600004644090,-0.808219,-0.745303,-11.6481,-1,1
1719588600004675992,-0.808219,-0.745303,-11.6481,-1,1
1719588600004680543,-0.808219,-0.745303,-11.6481,-1,1
1719588600004686856,-0.808219,-0.745303,-11.6481,-1,1
1719588600004691295,-0.808219,-0.745303,-11.6481,-1,1
1719588600004697260,-0.808219,-0.745303,-11.6481,-1,1
1719588600004702948,-0.808219,-0.745303,-11.6481,-1,1
1719588600004708191,-0.808219,-0.745303,-11.6481,-1,1
1719588600004714539,-0.808219,-0.745303,-11.6481,-1,1
1719588600004721502,-0.808219,-0.745303,-11.6481,-1,1
1719588600004728506,-0.808219,-0.745303,-11.6481,-1,1
1719588600004733636,-0.808219,-0.745303,-11.6481,-1,1
1719588600004746845,-0.520833,-0.529764,-12.3951,-1,1
1719588600004751715,-0.520833,-0.529764,-12.3951,-1,1
1719588600004757474,-0.546392,-0.565334,-13.1272,-1,1
1719588600004764294,-0.5625,-0.597532,-13.8447,-1,1
1719588600004772475,-0.5625,-0.597532,-13.8447,-1,1
1719588600004779449,-0.5625,-0.597532,-13.8447,-1,1
1719588600004785234,-0.5625,-0.597532,-13.8447,-1,1
1719588600004791511,-0.5625,-0.597532,-13.8447,-1,1
1719588600004796969,-0.546392,-0.336392,-14.5478,-1,1
1719588600004804597,-0.546392,-0.336392,-14.5478,-1,1
1719588600004812717,-0.546392,-0.336392,-14.5478,-1,1
1719588600004817893,-0.546392,-0.336392,-14.5478,-1,1
1719588600004828451,-0.546392,-0.336392,-14.5478,-1,1
1719588600004833504,-0.546392,-0.336392,-14.5478,-1,1
1719588600004852207,-0.546392,-0.336392,-14.5478,-1,1
1719588600004859415,-0.546392,-0.336392,-14.5478,-1,1
1719588600004872553,-0.546392,-0.336392,-14.5478,-1,1
1719588600004883709,-0.546392,-0.336392,-14.5478,-1,1
1719588600004890314,-0.546392,-0.336392,-14.5478,-1,1
1719588600004895971,-0.546392,-0.336392,-14.5478,-1,1
1719588600004902331,-0.546392,-0.336392,-14.5478,-1,1
1719588600004907179,-0.546392,-0.336392,-14.5478,-1,1
1719588600004912099,-0.546392,-0.336392,-14.5478,-1,1
1719588600004965524,-0.546392,-0.336392,-14.5478,-1,1
1719588600004974192,-0.546392,-0.336392,-14.5478,-1,1
1719588600004988840,-0.546392,-0.336392,-14.5478,-1,1
1719588600005014316,-0.546392,-0.336392,-14.5478,-1,1
1719588600005209240,-0.546392,-0.336392,-14.5478,-1,1
1719588600005310541,-0.546392,-0.336392,-14.5478,-1,1
1719588600005427806,-0.546392,-0.336392,-14.5478,-1,1
1719588600005622053,-0.546392,-0.336392,-14.5478,-1,1
1719588600005711896,-0.546392,-0.336392,-14.5478,-1,1
1719588600005870739,-0.546392,-0.336392,-14.5478,-1,1
1719588600006581062,-0.546392,-0.336392,-14.5478,-1,1
1719588600006581062,-0.546392,-0.336392,-14.5478,-1,1
1719588600006588205,-0.546392,-0.336392,-14.5478,-1,1
1719588600006621719,-0.546392,-0.336392,-14.5478,-1,1
1719588600006663036,-0.546392,-0.336392,-14.5478,-1,1
1719588600006684335,-0.546392,-0.336392,-14.5478,-1,1
1719588600006693294,-0.546392,-0.336392,-14.5478,-1,1
1719588600006755429,-0.546392,-0.336392,-14.5478,-1,1
1719588600006857442,-0.546392,-0.336392,-14.5478,-1,1
1719588600006868629,-0.546392,-0.336392,-14.5478,-1,1
1719588600006955180,-0.546392,-0.336392,-14.5478,-1,1
1719588600006971154,-0.546392,-0.336392,-14.5478,-1,1
1719588600007058457,-0.546392,-0.336392,-14.5478,-1,1
1719588600007064934,-0.546392,-0.336392,-14.5478,-1,1
1719588600007072557,-0.546392,-0.336392,-14.5478,-1,1
1719588600007138603,-0.546392,-0.336392,-14.5478,-1,1
1719588600007241753,-0.546392,-0.336392,-14.5478,-1,1
1719588600007267552,-0.546392,-0.336392,-14.5478,-1,1
1719588600007352828,-0.546392,-0.336392,-14.5478,-1,1
1719588600007572321,-0.546392,-0.336392,-14.5478,-1,1
1719588600007666250,-0.546392,-0.336392,-14.5478,-1,1
1719588600007793990,-0.546392,-0.336392,-14.5478,-1,1
1719588600007793990,-0.546392,-0.336392,-14.5478,-1,1
1719588600007802207,-0.546392,-0.336392,-14.5478,-1,1
1719588600007802207,-0.546392,-0.336392,-14.5478,-1,1
1719588600007902434,-0.546392,-0.336392,-14.5478,-1,1
1719588600007908418,-0.546392,-0.336392,-14.5478,-1,1
1719588600008839596,-0.546392,-0.336392,-14.5478,-1,1
1719588600008952653,-0.546392,-0.336392,-14.5478,-1,1
1719588600009234813,-0.546392,-0.336392,-14.5478,-1,1
1719588600009463854,-0.546392,-0.336392,-14.5478,-1,1
1719588600010583463,-0.546392,-0.336392,-14.5478,-1,1
1719588600010699253,-0.546392,-0.336392,-14.5478,-1,1
1719588600010862505,-0.546392,-0.336392,-14.5478,-1,1
1719588600010976739,-0.546392,-0.336392,-14.5478,-1,1
1719588600011318238,-0.546392,-0.336392,-14.5478,-1,1
1719588600011318238,-0.546392,-0.336392,-14.5478,-1,1
1719588600011318238,-0.546392,-0.336392,-14.5478,-1,1
1719588600011318238,-0.546392,-0.336392,-14.5478,-1,1
1719588600011325795,-0.546392,-0.336392,-14.5478,-1,1
1719588600011325795,-0.546392,-0.336392,-14.5478,-1,1
1719588600011325795,-0.546392,-0.336392,-14.5478,-1,1
1719588600011374889,-0.546392,-0.336392,-14.5478,-1,1
1719588600011416775,-0.546392,-0.336392,-14.5478,-1,1
1719588600011479524,-0.546392,-0.336392,-14.5478,-1,1
1719588600011494596,-0.546392,-0.336392,-14.5478,-1,1
1719588600011503720,-0.546392,-0.336392,-14.5478,-1,1
1719588600011893955,-0.546392,-0.336392,-14.5478,-1,1
1719588600012009658,-0.546392,-0.336392,-14.5478,-1,1
1719588600012384165,-0.546392,-0.336392,-14.5478,-1,1
1719588600012473753,-0.546392,-0.336392,-14.5478,-1,1
1719588600012516729,-0.546392,-0.336392,-14.5478,-1,1
1719588600012524437,-0.546392,-0.336392,-14.5478,-1,1
1719588600012614748,-0.546392,-0.336392,-14.5478,-1,1
1719588600012647674,-0.546392,-0.336392,-14.5478,-1,1
1719588600012807341,-0.546392,-0.336392,-14.5478,-1,1
1719588600013366930,-0.546392,-0.336392,-14.5478,-1,1
1719588600013494317,-0.546392,-0.336392,-14.5478,-1,1
1719588600013584508,-0.546392,-0.336392,-14.5478,-1,1
1719588600014747262,-0.546392,-0.336392,-14.5478,-1,1
1719588600014843356,-0.546392,-0.336392,-14.5478,-1,1
1719588600014852107,-0.546392,-0.336392,-14.5478,-1,1
1719588600015782445,-0.546392,-0.336392,-14.5478,-1,1
1719588600017136097,-0.546392,-0.336392,-14.5478,-1,1
1719588600017573962,-0.546392,-0.336392,-14.5478,-1,1
1719588600017583356,-0.546392,-0.336392,-14.5478,-1,1
1719588600017676538,-0.546392,-0.336392,-14.5478,-1,1
1719588600017732446,-0.546392,-0.336392,-14.5478,-1,1
1719588600017741514,-0.546392,-0.336392,-14.5478,-1,1
1719588600017753924,-0.546392,-0.336392,-14.5478,-1,1
1719588600017852077,-0.546392,-0.336392,-14.5478,-1,1
1719588600017953839,-0.546392,-0.336392,-14.5478,-1,1
1719588600027652625,-0.546392,-0.336392,-14.5478,-1,1
1719588600027754971,-0.546392,-0.336392,-14.5478,-1,1
